,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
69,5,60,l2,20,False,15,2,0.564792176039119
61,20,60,l2,20,True,15,1,0.564792176039119
46,15,45,l1,15,True,25,1,0.562347188264058
246,20,60,l1,20,False,25,1,0.562347188264058
70,5,60,l1,20,False,25,2,0.562347188264058
219,10,30,l2,10,True,5,1,0.562347188264058
37,15,45,l2,15,False,15,1,0.562347188264058
239,15,45,l2,15,True,25,1,0.5599022004889971
221,10,30,l2,10,True,15,1,0.5599022004889971
243,20,60,l2,20,False,5,1,0.5599022004889971
326,5,240,l1,80,False,25,4,0.5599022004889971
55,20,60,l2,20,False,25,1,0.5599022004889971
245,20,60,l2,20,False,15,1,0.5599022004889971
237,15,45,l2,15,True,15,1,0.557457212713936
62,20,60,l1,20,True,25,1,0.557457212713936
38,15,45,l1,15,False,25,1,0.557457212713936
247,20,60,l2,20,False,25,1,0.555012224938875
218,10,30,l1,10,True,5,1,0.555012224938875
255,20,60,l2,20,True,25,1,0.555012224938875
327,5,240,l2,80,False,25,4,0.555012224938875
287,10,120,l2,40,True,25,2,0.5525672371638141
79,5,60,l2,20,True,25,2,0.5525672371638141
20,10,30,l1,10,False,15,1,0.5501222493887531
27,10,30,l2,10,True,5,1,0.547677261613691
45,15,45,l2,15,True,15,1,0.547677261613691
254,20,60,l1,20,True,25,1,0.547677261613691
229,15,45,l2,15,False,15,1,0.547677261613691
71,5,60,l2,20,False,25,2,0.54523227383863
210,10,30,l1,10,False,5,1,0.5427872860635691
39,15,45,l2,15,False,25,1,0.5427872860635691
231,15,45,l2,15,False,25,1,0.540342298288508
9,5,15,l2,5,True,1,1,0.537897310513447
30,10,30,l1,10,True,25,1,0.537897310513447
260,5,60,l1,20,False,15,2,0.537897310513447
258,5,60,l1,20,False,5,2,0.537897310513447
222,10,30,l1,10,True,25,1,0.535452322738386
211,10,30,l2,10,False,5,1,0.535452322738386
8,5,15,l1,5,True,1,1,0.5330073349633251
269,5,60,l2,20,True,15,2,0.5330073349633251
31,10,30,l2,10,True,25,1,0.5330073349633251
47,15,45,l2,15,True,25,1,0.5330073349633251
268,5,60,l1,20,True,15,2,0.530562347188264
212,10,30,l1,10,False,15,1,0.530562347188264
259,5,60,l2,20,False,5,2,0.52322738386308
10,5,15,l1,5,True,5,1,0.520782396088019
22,10,30,l1,10,False,25,1,0.518337408312958
214,10,30,l1,10,False,25,1,0.518337408312958
261,5,60,l2,20,False,15,2,0.518337408312958
223,10,30,l2,10,True,25,1,0.518337408312958
2,5,15,l1,5,False,5,1,0.5158924205378971
63,20,60,l2,20,True,25,1,0.513447432762836
21,10,30,l2,10,False,15,1,0.513447432762836
5,5,15,l2,5,False,15,1,0.511002444987775
270,5,60,l1,20,True,25,2,0.511002444987775
1,5,15,l2,5,False,1,1,0.511002444987775
0,5,15,l1,5,False,1,1,0.5061124694376521
213,10,30,l2,10,False,15,1,0.5061124694376521
23,10,30,l2,10,False,25,1,0.503667481662591
3,5,15,l2,5,False,5,1,0.50122249388753
262,5,60,l1,20,False,25,2,0.498777506112469
202,5,15,l1,5,True,5,1,0.49633251833740805
271,5,60,l2,20,True,25,2,0.48655256723716306
215,10,30,l2,10,False,25,1,0.48655256723716306
4,5,15,l1,5,False,15,1,0.48655256723716306
6,5,15,l1,5,False,25,1,0.48410757946210203
201,5,15,l2,5,True,1,1,0.48166259168704106
263,5,60,l2,20,False,25,2,0.47921760391198004
7,5,15,l2,5,False,25,1,0.476772616136919
203,5,15,l2,5,True,5,1,0.476772616136919
204,5,15,l1,5,True,15,1,0.46943765281173505
14,5,15,l1,5,True,25,1,0.45965770171149106
200,5,15,l1,5,True,1,1,0.45965770171149106
205,5,15,l2,5,True,15,1,0.45965770171149106
15,5,15,l2,5,True,25,1,0.45721271393643004
12,5,15,l1,5,True,15,1,0.454767726161369
11,5,15,l2,5,True,5,1,0.45232273838630804
206,5,15,l1,5,True,25,1,0.44743276283618505
13,5,15,l2,5,True,15,1,0.44743276283618505
196,5,15,l1,5,False,15,1,0.44254278728606306
194,5,15,l1,5,False,5,1,0.44254278728606306
207,5,15,l2,5,True,25,1,0.44009779951100203
197,5,15,l2,5,False,15,1,0.43765281173594106
198,5,15,l1,5,False,25,1,0.43520782396088004
193,5,15,l2,5,False,1,1,0.43031784841075704
192,5,15,l1,5,False,1,1,0.43031784841075704
195,5,15,l2,5,False,5,1,0.422982885085574
199,5,15,l2,5,False,25,1,0.41320293398533003
