,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
303,15,180,l2,60,True,25,2,0.575539568345323
127,20,240,l2,80,True,25,2,0.575539568345323
16,10,30,l1,10,False,1,1,0.575539568345323
325,5,240,l2,80,False,15,4,0.575539568345323
311,20,240,l2,80,False,25,2,0.575539568345323
24,10,30,l1,10,True,1,1,0.575539568345323
134,5,240,l1,80,False,25,4,0.573141486810551
326,5,240,l1,80,False,25,4,0.573141486810551
70,5,60,l1,20,False,25,2,0.573141486810551
262,5,60,l1,20,False,25,2,0.570743405275779
260,5,60,l1,20,False,15,2,0.570743405275779
52,20,60,l1,20,False,15,1,0.570743405275779
86,10,120,l1,40,False,25,2,0.568345323741007
252,20,60,l1,20,True,15,1,0.568345323741007
18,10,30,l1,10,False,5,1,0.565947242206235
54,20,60,l1,20,False,25,1,0.565947242206235
248,20,60,l1,20,True,1,1,0.565947242206235
275,10,120,l2,40,False,5,2,0.563549160671462
256,5,60,l1,20,False,1,2,0.563549160671462
35,15,45,l2,15,False,5,1,0.563549160671462
34,15,45,l1,15,False,5,1,0.56115107913669
285,10,120,l2,40,True,15,2,0.56115107913669
225,15,45,l2,15,False,1,1,0.56115107913669
293,15,180,l2,60,False,15,2,0.56115107913669
241,20,60,l2,20,False,1,1,0.56115107913669
334,5,240,l1,80,True,25,4,0.56115107913669
17,10,30,l2,10,False,1,1,0.558752997601918
117,20,240,l2,80,False,15,2,0.556354916067146
42,15,45,l1,15,True,5,1,0.556354916067146
135,5,240,l2,80,False,25,4,0.556354916067146
266,5,60,l1,20,True,5,2,0.556354916067146
316,20,240,l1,80,True,15,2,0.5539568345323741
286,10,120,l1,40,True,25,2,0.5539568345323741
19,10,30,l2,10,False,5,1,0.551558752997601
53,20,60,l2,20,False,15,1,0.551558752997601
295,15,180,l2,60,False,25,2,0.551558752997601
62,20,60,l1,20,True,25,1,0.551558752997601
244,20,60,l1,20,False,15,1,0.551558752997601
257,5,60,l2,20,False,1,2,0.551558752997601
60,20,60,l1,20,True,15,1,0.551558752997601
50,20,60,l1,20,False,5,1,0.551558752997601
267,5,60,l2,20,True,5,2,0.5491606714628291
232,15,45,l1,15,True,1,1,0.5491606714628291
278,10,120,l1,40,False,25,2,0.5491606714628291
25,10,30,l2,10,True,1,1,0.5491606714628291
327,5,240,l2,80,False,25,4,0.546762589928057
261,5,60,l2,20,False,15,2,0.546762589928057
546,15,720,l1,240,False,5,4,0.546762589928057
59,20,60,l2,20,True,5,1,0.546762589928057
20,10,30,l1,10,False,15,1,0.5443645083932851
552,15,720,l1,240,True,1,4,0.541966426858513
26,10,30,l1,10,True,5,1,0.541966426858513
216,10,30,l1,10,True,1,1,0.5395683453237411
226,15,45,l1,15,False,5,1,0.5395683453237411
49,20,60,l2,20,False,1,1,0.5395683453237411
51,20,60,l2,20,False,5,1,0.5395683453237411
544,15,720,l1,240,False,1,4,0.537170263788968
37,15,45,l2,15,False,15,1,0.537170263788968
234,15,45,l1,15,True,5,1,0.537170263788968
335,5,240,l2,80,True,25,4,0.537170263788968
318,20,240,l1,80,True,25,2,0.5347721822541961
38,15,45,l1,15,False,25,1,0.5347721822541961
277,10,120,l2,40,False,15,2,0.5347721822541961
21,10,30,l2,10,False,15,1,0.5347721822541961
254,20,60,l1,20,True,25,1,0.5347721822541961
253,20,60,l2,20,True,15,1,0.5347721822541961
568,20,960,l1,320,True,1,4,0.5347721822541961
44,15,45,l1,15,True,15,1,0.532374100719424
119,20,240,l2,80,False,25,2,0.532374100719424
27,10,30,l2,10,True,5,1,0.5299760191846521
