,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
273,20,960,l2,320,False,25,4,0.45200192957067004
133,10,120,l2,40,True,1,2,0.450554751567776
290,5,960,l1,320,False,5,8,0.449589966232513
291,5,960,l2,320,False,5,8,0.449107573564881
122,10,120,l1,40,False,5,2,0.449107573564881
209,5,240,l2,80,True,11,4,0.449107573564881
369,20,3840,l2,1280,False,25,8,0.44814278822961806
134,10,120,l1,40,True,5,2,0.44717800289435605
121,10,120,l2,40,False,1,2,0.44621321755909304
321,10,1920,l2,640,False,25,8,0.44573082489146104
159,15,180,l2,60,True,5,2,0.44428364688856703
333,10,1920,l2,640,True,25,8,0.44428364688856703
382,20,3840,l1,1280,True,45,8,0.44428364688856703
238,10,480,l1,160,True,45,4,0.443318861553304
320,10,1920,l1,640,False,25,8,0.443318861553304
171,20,240,l2,80,False,5,2,0.443318861553304
185,20,240,l2,80,True,11,2,0.442836468885672
334,10,1920,l1,640,True,45,8,0.442354076218041
381,20,3840,l2,1280,True,25,8,0.44187168355041
149,15,180,l2,60,False,11,2,0.44090689821514706
84,20,60,l1,20,True,1,1,0.44090689821514706
212,5,240,l1,80,True,25,4,0.44090689821514706
147,15,180,l2,60,False,5,2,0.44042450554751505
237,10,480,l2,160,True,25,4,0.43994211287988405
211,5,240,l2,80,True,15,4,0.43994211287988405
358,15,2880,l1,960,True,45,8,0.43945972021225205
161,15,180,l2,60,True,11,2,0.43945972021225205
225,10,480,l2,160,False,25,4,0.43897732754462104
194,5,240,l1,80,False,5,4,0.43849493487698904
136,10,120,l1,40,True,11,2,0.43801254220935804
306,5,960,l1,320,True,15,8,0.43753014954172703
275,20,960,l2,320,False,45,4,0.43753014954172703
164,15,180,l1,60,True,25,2,0.43753014954172703
173,20,240,l2,80,False,11,2,0.43704775687409503
154,15,180,l1,60,False,45,2,0.436565364206464
307,5,960,l2,320,True,15,8,0.436082971538832
124,10,120,l1,40,False,11,2,0.435600578871201
347,15,2880,l2,960,False,45,8,0.434635793535938
126,10,120,l1,40,False,15,2,0.434635793535938
187,20,240,l2,80,True,15,2,0.43222383019778104
287,20,960,l2,320,True,45,4,0.43174143753014904
74,20,60,l1,20,False,5,1,0.43077665219488603
335,10,1920,l2,640,True,45,8,0.43029425952725503
263,15,720,l2,240,True,45,4,0.429329474191992
135,10,120,l2,40,True,5,2,0.428364688856729
76,20,60,l1,20,False,11,1,0.428364688856729
196,5,240,l1,80,False,11,4,0.427882296189097
197,5,240,l2,80,False,11,4,0.427399903521466
138,10,120,l1,40,True,15,2,0.42691751085383506
108,5,60,l1,20,True,1,2,0.42691751085383506
151,15,180,l2,60,False,15,2,0.42547033285094005
293,5,960,l2,320,False,11,8,0.42498794018330904
359,15,2880,l2,960,True,45,8,0.42498794018330904
178,20,240,l1,80,False,45,2,0.42498794018330904
163,15,180,l2,60,True,15,2,0.42402315484804604
371,20,3840,l2,1280,False,45,8,0.42402315484804604
190,20,240,l1,80,True,45,2,0.42354076218041403
175,20,240,l2,80,False,15,2,0.42305836951278303
213,5,240,l2,80,True,25,4,0.42305836951278303
251,15,720,l2,240,False,45,4,0.42305836951278303
195,5,240,l2,80,False,5,4,0.42305836951278303
292,5,960,l1,320,False,11,8,0.422575976845151
295,5,960,l2,320,False,15,8,0.42209358417752
128,10,120,l1,40,False,25,2,0.421611191509889
73,20,60,l2,20,False,1,1,0.421611191509889
137,10,120,l2,40,True,11,2,0.421128798842257
198,5,240,l1,80,False,15,4,0.420164013506994
166,15,180,l1,60,True,45,2,0.420164013506994
