,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
95,10,120,l2,40,True,25,2,0.47699757869249304
280,10,120,l1,40,True,1,2,0.47699757869249304
70,5,60,l1,20,False,25,2,0.47699757869249304
275,10,120,l2,40,False,5,2,0.47215496368038706
237,15,45,l2,15,True,15,1,0.46973365617433405
33,15,45,l2,15,False,1,1,0.46973365617433405
277,10,120,l2,40,False,15,2,0.46973365617433405
250,20,60,l1,20,True,5,1,0.46731234866828003
31,10,30,l2,10,True,25,1,0.46731234866828003
68,5,60,l1,20,False,15,2,0.464891041162227
232,15,45,l1,15,True,1,1,0.46246973365617405
326,5,240,l1,80,False,25,4,0.46246973365617405
325,5,240,l2,80,False,15,4,0.46246973365617405
228,15,45,l1,15,False,15,1,0.46246973365617405
18,10,30,l1,10,False,5,1,0.46004842615012104
22,10,30,l1,10,False,25,1,0.46004842615012104
233,15,45,l2,15,True,1,1,0.46004842615012104
251,20,60,l2,20,True,5,1,0.46004842615012104
247,20,60,l2,20,False,25,1,0.457627118644067
72,5,60,l1,20,True,1,2,0.457627118644067
65,5,60,l2,20,False,1,2,0.457627118644067
321,5,240,l2,80,False,1,4,0.45520581113801406
230,15,45,l1,15,False,25,1,0.45520581113801406
73,5,60,l2,20,True,1,2,0.45278450363196104
238,15,45,l1,15,True,25,1,0.45278450363196104
20,10,30,l1,10,False,15,1,0.45278450363196104
324,5,240,l1,80,False,15,4,0.45278450363196104
252,20,60,l1,20,True,15,1,0.45036319612590703
16,10,30,l1,10,False,1,1,0.45036319612590703
69,5,60,l2,20,False,15,2,0.45036319612590703
239,15,45,l2,15,True,25,1,0.447941888619854
64,5,60,l1,20,False,1,2,0.447941888619854
21,10,30,l2,10,False,15,1,0.447941888619854
248,20,60,l1,20,True,1,1,0.447941888619854
67,5,60,l2,20,False,5,2,0.44552058111380105
273,10,120,l2,40,False,1,2,0.44552058111380105
19,10,30,l2,10,False,5,1,0.44552058111380105
266,5,60,l1,20,True,5,2,0.44552058111380105
267,5,60,l2,20,True,5,2,0.44309927360774803
23,10,30,l2,10,False,25,1,0.440677966101694
13,5,15,l2,5,True,15,1,0.43825665859564106
255,20,60,l2,20,True,25,1,0.43825665859564106
224,15,45,l1,15,False,1,1,0.43825665859564106
279,10,120,l2,40,False,25,2,0.43825665859564106
71,5,60,l2,20,False,25,2,0.43825665859564106
231,15,45,l2,15,False,25,1,0.43583535108958804
227,15,45,l2,15,False,5,1,0.43583535108958804
