,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
255,20,60,l2,20,True,25,1,0.344988344988344
47,15,45,l2,15,True,25,1,0.344988344988344
78,5,60,l1,20,True,25,2,0.344988344988344
272,10,120,l1,40,False,1,2,0.34265734265734205
303,15,180,l2,60,True,25,2,0.34265734265734205
87,10,120,l2,40,False,25,2,0.34265734265734205
73,5,60,l2,20,True,1,2,0.34265734265734205
23,10,30,l2,10,False,25,1,0.34265734265734205
64,5,60,l1,20,False,1,2,0.34032634032634
224,15,45,l1,15,False,1,1,0.34032634032634
283,10,120,l2,40,True,5,2,0.34032634032634
322,5,240,l1,80,False,5,4,0.33799533799533804
324,5,240,l1,80,False,15,4,0.33799533799533804
81,10,120,l2,40,False,1,2,0.33799533799533804
206,5,15,l1,5,True,25,1,0.33799533799533804
281,10,120,l2,40,True,1,2,0.33799533799533804
223,10,30,l2,10,True,25,1,0.33799533799533804
207,5,15,l2,5,True,25,1,0.33799533799533804
17,10,30,l2,10,False,1,1,0.33799533799533804
222,10,30,l1,10,True,25,1,0.33799533799533804
15,5,15,l2,5,True,25,1,0.335664335664335
25,10,30,l2,10,True,1,1,0.335664335664335
326,5,240,l1,80,False,25,4,0.335664335664335
65,5,60,l2,20,False,1,2,0.335664335664335
279,10,120,l2,40,False,25,2,0.33333333333333304
323,5,240,l2,80,False,5,4,0.331002331002331
217,10,30,l2,10,True,1,1,0.331002331002331
211,10,30,l2,10,False,5,1,0.331002331002331
220,10,30,l1,10,True,15,1,0.331002331002331
273,10,120,l2,40,False,1,2,0.32867132867132803
225,15,45,l2,15,False,1,1,0.32867132867132803
265,5,60,l2,20,True,1,2,0.326340326340326
249,20,60,l2,20,True,1,1,0.326340326340326
208,10,30,l1,10,False,1,1,0.32400932400932403
266,5,60,l1,20,True,5,2,0.32400932400932403
267,5,60,l2,20,True,5,2,0.321678321678321
320,5,240,l1,80,False,1,4,0.321678321678321
12,5,15,l1,5,True,15,1,0.319347319347319
264,5,60,l1,20,True,1,2,0.31701631701631705
66,5,60,l1,20,False,5,2,0.31235431235431205
325,5,240,l2,80,False,15,4,0.31235431235431205
14,5,15,l1,5,True,25,1,0.31235431235431205
205,5,15,l2,5,True,15,1,0.31002331002331
204,5,15,l1,5,True,15,1,0.31002331002331
