,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
40,15,45,l1,15,True,1,1,0.38423645320197003
340,10,480,l1,160,False,15,4,0.38423645320197003
125,20,240,l2,80,True,15,2,0.38423645320197003
347,10,480,l2,160,True,5,4,0.38423645320197003
135,5,240,l2,80,False,25,4,0.38423645320197003
133,5,240,l2,80,False,15,4,0.38423645320197003
274,10,120,l1,40,False,5,2,0.381773399014778
107,15,180,l2,60,True,5,2,0.381773399014778
343,10,480,l2,160,False,25,4,0.381773399014778
281,10,120,l2,40,True,1,2,0.381773399014778
91,10,120,l2,40,True,5,2,0.381773399014778
349,10,480,l2,160,True,15,4,0.379310344827586
359,15,720,l2,240,False,25,4,0.379310344827586
310,20,240,l1,80,False,25,2,0.379310344827586
279,10,120,l2,40,False,25,2,0.379310344827586
322,5,240,l1,80,False,5,4,0.379310344827586
290,15,180,l1,60,False,5,2,0.379310344827586
303,15,180,l2,60,True,25,2,0.379310344827586
300,15,180,l1,60,True,15,2,0.379310344827586
339,10,480,l2,160,False,5,4,0.376847290640394
276,10,120,l1,40,False,15,2,0.376847290640394
308,20,240,l1,80,False,15,2,0.376847290640394
318,20,240,l1,80,True,25,2,0.376847290640394
324,5,240,l1,80,False,15,4,0.376847290640394
56,20,60,l1,20,True,1,1,0.376847290640394
42,15,45,l1,15,True,5,1,0.376847290640394
64,5,60,l1,20,False,1,2,0.376847290640394
43,15,45,l2,15,True,5,1,0.376847290640394
118,20,240,l1,80,False,25,2,0.376847290640394
110,15,180,l1,60,True,25,2,0.376847290640394
102,15,180,l1,60,False,25,2,0.374384236453201
44,15,45,l1,15,True,15,1,0.374384236453201
48,20,60,l1,20,False,1,1,0.374384236453201
265,5,60,l2,20,True,1,2,0.374384236453201
302,15,180,l1,60,True,25,2,0.371921182266009
100,15,180,l1,60,False,15,2,0.371921182266009
85,10,120,l2,40,False,15,2,0.371921182266009
341,10,480,l2,160,False,15,4,0.371921182266009
299,15,180,l2,60,True,5,2,0.371921182266009
326,5,240,l1,80,False,25,4,0.369458128078817
292,15,180,l1,60,False,15,2,0.369458128078817
52,20,60,l1,20,False,15,1,0.369458128078817
46,15,45,l1,15,True,25,1,0.369458128078817
92,10,120,l1,40,True,15,2,0.369458128078817
323,5,240,l2,80,False,5,4,0.369458128078817
294,15,180,l1,60,False,25,2,0.366995073891625
297,15,180,l2,60,True,1,2,0.366995073891625
101,15,180,l2,60,False,15,2,0.366995073891625
317,20,240,l2,80,True,15,2,0.366995073891625
305,20,240,l2,80,False,1,2,0.366995073891625
93,10,120,l2,40,True,15,2,0.36453201970443305
327,5,240,l2,80,False,25,4,0.36453201970443305
119,20,240,l2,80,False,25,2,0.36453201970443305
109,15,180,l2,60,True,15,2,0.36453201970443305
74,5,60,l1,20,True,5,2,0.36453201970443305
268,5,60,l1,20,True,15,2,0.36453201970443305
264,5,60,l1,20,True,1,2,0.36453201970443305
142,5,240,l1,80,True,25,4,0.36453201970443305
277,10,120,l2,40,False,15,2,0.36453201970443305
319,20,240,l2,80,True,25,2,0.36453201970443305
141,5,240,l2,80,True,15,4,0.36453201970443305
111,15,180,l2,60,True,25,2,0.36453201970443305
273,10,120,l2,40,False,1,2,0.36206896551724105
333,5,240,l2,80,True,15,4,0.36206896551724105
284,10,120,l1,40,True,15,2,0.36206896551724105
87,10,120,l2,40,False,25,2,0.36206896551724105
325,5,240,l2,80,False,15,4,0.35960591133004904
117,20,240,l2,80,False,15,2,0.35960591133004904
307,20,240,l2,80,False,5,2,0.35960591133004904
83,10,120,l2,40,False,5,2,0.35960591133004904
79,5,60,l2,20,True,25,2,0.35960591133004904
298,15,180,l1,60,True,5,2,0.35960591133004904
350,10,480,l1,160,True,25,4,0.35960591133004904
270,5,60,l1,20,True,25,2,0.35960591133004904
38,15,45,l1,15,False,25,1,0.35714285714285704
41,15,45,l2,15,True,1,1,0.35714285714285704
65,5,60,l2,20,False,1,2,0.35714285714285704
335,5,240,l2,80,True,25,4,0.35714285714285704
36,15,45,l1,15,False,15,1,0.35467980295566504
37,15,45,l2,15,False,15,1,0.35467980295566504
351,10,480,l2,160,True,25,4,0.35467980295566504
69,5,60,l2,20,False,15,2,0.35467980295566504
240,20,60,l1,20,False,1,1,0.35467980295566504
51,20,60,l2,20,False,5,1,0.35221674876847203
252,20,60,l1,20,True,15,1,0.35221674876847203
94,10,120,l1,40,True,25,2,0.35221674876847203
250,20,60,l1,20,True,5,1,0.35221674876847203
18,10,30,l1,10,False,5,1,0.34975369458128003
99,15,180,l2,60,False,5,2,0.34975369458128003
53,20,60,l2,20,False,15,1,0.34975369458128003
282,10,120,l1,40,True,5,2,0.347290640394088
54,20,60,l1,20,False,25,1,0.347290640394088
267,5,60,l2,20,True,5,2,0.347290640394088
32,15,45,l1,15,False,1,1,0.347290640394088
233,15,45,l2,15,True,1,1,0.347290640394088
39,15,45,l2,15,False,25,1,0.347290640394088
45,15,45,l2,15,True,15,1,0.344827586206896
283,10,120,l2,40,True,5,2,0.344827586206896
59,20,60,l2,20,True,5,1,0.344827586206896
228,15,45,l1,15,False,15,1,0.344827586206896
49,20,60,l2,20,False,1,1,0.344827586206896
57,20,60,l2,20,True,1,1,0.344827586206896
309,20,240,l2,80,False,15,2,0.344827586206896
13,5,15,l2,5,True,15,1,0.344827586206896
34,15,45,l1,15,False,5,1,0.342364532019704
76,5,60,l1,20,True,15,2,0.342364532019704
248,20,60,l1,20,True,1,1,0.342364532019704
275,10,120,l2,40,False,5,2,0.342364532019704
287,10,120,l2,40,True,25,2,0.342364532019704
20,10,30,l1,10,False,15,1,0.342364532019704
77,5,60,l2,20,True,15,2,0.342364532019704
58,20,60,l1,20,True,5,1,0.339901477832512
311,20,240,l2,80,False,25,2,0.339901477832512
269,5,60,l2,20,True,15,2,0.339901477832512
68,5,60,l1,20,False,15,2,0.339901477832512
528,10,480,l1,160,False,1,4,0.339901477832512
66,5,60,l1,20,False,5,2,0.33743842364532
214,10,30,l1,10,False,25,1,0.33743842364532
232,15,45,l1,15,True,1,1,0.33743842364532
548,15,720,l1,240,False,15,4,0.33743842364532
560,20,960,l1,320,False,1,4,0.33743842364532
71,5,60,l2,20,False,25,2,0.33743842364532
75,5,60,l2,20,True,5,2,0.33743842364532
95,10,120,l2,40,True,25,2,0.334975369458128
78,5,60,l1,20,True,25,2,0.334975369458128
285,10,120,l2,40,True,15,2,0.334975369458128
293,15,180,l2,60,False,15,2,0.334975369458128
216,10,30,l1,10,True,1,1,0.334975369458128
266,5,60,l1,20,True,5,2,0.334975369458128
566,20,960,l1,320,False,25,4,0.334975369458128
35,15,45,l2,15,False,5,1,0.334975369458128
224,15,45,l1,15,False,1,1,0.332512315270935
12,5,15,l1,5,True,15,1,0.332512315270935
62,20,60,l1,20,True,25,1,0.332512315270935
47,15,45,l2,15,True,25,1,0.332512315270935
552,15,720,l1,240,True,1,4,0.33004926108374305
253,20,60,l2,20,True,15,1,0.33004926108374305
556,15,720,l1,240,True,15,4,0.33004926108374305
229,15,45,l2,15,False,15,1,0.33004926108374305
291,15,180,l2,60,False,5,2,0.32758620689655105
249,20,60,l2,20,True,1,1,0.32758620689655105
230,15,45,l1,15,False,25,1,0.32758620689655105
286,10,120,l1,40,True,25,2,0.32758620689655105
242,20,60,l1,20,False,5,1,0.32758620689655105
14,5,15,l1,5,True,25,1,0.32758620689655105
15,5,15,l2,5,True,25,1,0.32512315270935904
234,15,45,l1,15,True,5,1,0.32512315270935904
70,5,60,l1,20,False,25,2,0.32512315270935904
